-,0.175
О,0.090
Е,0.072
А,0.062
И,0.062
Т,0.053
Н,0.053
С,0.045
Р,0.040
В,0.038
Л,0.035
К,0.028
М,0.026
Д,0.025
П,0.023
У,0.021
Я,0.018
Ы,0.016
Ь,0.014
Б,0.014
Г,0.013
Ч,0.012
Й,0.010
Х,0.009
Ж,0.007
Ю,0.006
Ш,0.006
Ц,0.004
Щ,0.003
Ф,0.002
Э,0.003
